GENE,SPU
Wnt8,SPU_020371
Repressor A,NO SPU
Nkx3-2,SPU_013047
Nk2.1,SPU_000757
Hbn,SPU_023177
Wnt16,SPU_011130
Sp5,SPU_024189
Unc4.1,SPU_013704
Lim1,SPU_006991
Pax2/5/8,SPU_014539
Hox7,SPU_002634
Nk2.2,SPU_000756
Nk1,SPU_012491
Wnt5,SPU_026277
Gsc,SPU_015982
Foxg,SPU_009771
Tlx,SPU_023893
Fgf9,SPU_006242
Emx,SPU_002592
Univin,SPU_000668
Hmx,SPU_012490
IrxA,SPU_010351
Tbx2/3,SPU_023386
Foxq2,SPU_012384
Six3,SPU_018908
Nodal,SPU_011064
Lefty,SPU_009911
Bmp2/4,SPU_000669
Bmp5/8,SPU_012786
Pax4l,SPU_017635
Sip1,SPU_026620
Ets4,SPU_008528
Chordin,SPU_004983
Wnt1,SPU_011756
R_oral,NO SPU
Dlx,SPU_002815
Msx,SPU_022049
Klf7,SPU_012772
One-cut,SPU_016449
E2f3,SPU_006753
Shr2,SPU_008117
EGFII,NO SPU
Msxl,SPU_020565
Atbf,NO SPU
Z60,SPU_015358
R_aboral,NO SPU
Wnt4,SPU_023463
Meis,SPU_011202
Bra,SPU_013015
Eve,SPU_012253
FoxA,SPU_006676
Not,SPU_002129
SoxB1,SPU_022820
Vegf3,SPU_030148
Myc,SPU_003166
Alx1,SPU_025302
Bra,SPU_013015
CAPK,SPU_022038
CyP,NO SPU
Delta,SPU_016128
Dpt,NO SPU
Dri,SPU_005718
Endo16,SPU_011038
ES,NO SPU
Ets1,SPU_002874
Eve,SPU_012253
Ficolin,SPU_000045
FoxA,SPU_006676
FoxB,SPU_004551
"FvMo1,2,3",NO SPU
GataC,SPU_027015
GataE,SPU_010635
Gcm,SPU_006462
Hnf 6,NO SPU
Hox11/13b,SPU_002631
Krl,SPU_004148
Blimp1,SPU_027235
Msp130,SPU_002088
Msp-L,NO SPU
Sm30,SPU_000825
Decorin,NO SPU
Not,SPU_002129
Notch,SPU_014131
Nrl,SPU_013698
Otx,SPU_010424
Pks,SPU_002895
Pmar1,SPU_014721
HesC,SPU_021608
Sm27,NO SPU
Sm50,SPU_018811
SoxB1,SPU_022820
SuTx,NO SPU
TBr,SPU_025584
Wnt8,SPU_020371
Brn1/2/4,SPU_016443
L1,SPU_021428
VEGFR,NO SPU
Vegf3,SPU_030148
G-cadherin,SPU_015960
Runx,SPU_021927
RhoA,SPU_011029
SoxC,SPU_002603
Erg,SPU_018483
Hex,SPU_027215
Tgif,SPU_018126
FoxN2/3,SPU_015243
FoxO,SPU_009178
Tel,SPU_028479
Hnf1,SPU_008196
Myc,SPU_003166
Elk,SPU_012469
Dac,SPU_028061
Hh,SPU_012238
Six1/2,SPU_017379
z166,SPU_012645
Ese,SPU_024903
Scl,SPU_028093
Signal V2,NO SPU
Unc4.1,SPU_013704
Prox,SPU_015984
Wnt16,SPU_011130
SoxE,SPU_016881
FoxY,SPU_010403
FoxF,SPU_000975
Smo,SPU_004340
Ptc,SPU_022844
Gene X,NO SPU
