GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG5337.3-2373|SPU_007007	336	24	68	13	11	5	13	26
HE_FRAG13737.0-1110|SPU_004203	138	59	131	0	13	0	41	9
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	134	0	329	0	0	0	23	0
HE_CONTIG4779|SPU_018178	0	0	0	0	0	0	2	2
HE_FRAG13753.1659-2100|SPU_020214	176	38	229	5	19	1	7	11
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	161	4	95	0	8	0	21	17
HE_CONTIG2285|SPU_019377	129	21	78	0	12	0	25	14
HE_FRAG14895.3-5836|SPU_000212	487	34	185	6	1	0	77	9
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	45	16	34	0	16	8	0	0
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	0	0	0	0	0	0	3	0
HE_FRAG13543.95-278|SPU_008833	0	0	0	0	0	0	3	13
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	134	20	55	2	12	0	39	15
HE_FRAG13578.33-1190|SPU_017470	170	41	98	1	17	2	7	8
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	1305	8	887	0	0	0	77	65
HE_CONTIG157|SPU_014886	238	0	201	0	344	0	16	0
HE_CONTIG3659|SPU_014519	0	0	0	0	0	0	11	0
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	0	0	0	0	0	0	7	0
HE_FRAG22924.3-13107|SPU_017733	4386	670	4001	147	55	0	532	165
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	0	0	0	0	0	0	2	0
HE_CONTIG5111|SPU_015151	290	24	458	2	0	0	37	14
HE_CONTIG708|UNKNOWN	1	0	0	0	0	0	3	0
HE_CONTIG108|SPU_018962	1584	259	1199	95	110	0	21	1
HE_CONTIG2659|SPU_002174	584	29	41	1	0	0	100	9
HE_FRAG7415.1026-1242|UNKNOWN	0	0	0	0	0	0	10	0
HE_FRAG1022.505-602|UNKNOWN	701	0	106	0	0	0	21	0
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	353	210	279	4	200	36	68	1
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	0	0	0	0	0	0	5	0
HE_CONTIG940|SPU_028807	55	2	95	5	4	0	15	2
HE_CONTIG1893|SPU_025927	134	4	47	0	0	0	1	0
HE_CONTIG2056|SPU_002018	185	43	19	0	5	1	9	7
HE_FRAG8342.2034-2124|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	218	22	26	8	10	2	15	2
HE_FRAG14087.2-824|UNKNOWN	0	0	0	0	0	0	17	0
HE_CONTIG3897|SPU_008199	1019	128	779	19	188	34	156	42
HE_CONTIG4028|SPU_019712	492	151	37	0	39	9	195	111
HE_COMP230816_C5_SEQ1.117-174|UNKNOWN	1	0	6	3	2	0	3	3
HE_COMP236051_C4_SEQ1.0-3213|SPU_012202	1092	28	559	0	388	0	71	0
HE_COMP241141_C1_SEQ3.785-1700|SPU_017307	4217	0	2077	2	20	0	146	0
HE_COMP227882_C0_SEQ1.0-120|SPU_020423	0	0	0	0	0	0	3	0
HE_COMP234539_C8_SEQ1.41-80|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG3151.0-1623|SPU_023091	99	27	47	0	0	0	17	0
HE_FRAG9113.0-1562|SPU_007283	510	17	113	0	77	4	56	0
HE_COMP232501_C6_SEQ1.169-603|SPU_022056	3111	72	297	122	8	0	132	1144
HE_COMP230809_C1_SEQ4.63-900|SPU_007801	112	66	24	0	11	0	3	2
HE_FRAG9209.282-2436|SPU_014406	0	0	0	0	0	0	23	0
HE_FRAG16808.0-3141|SPU_027144	542	57	441	16	7	2	84	41
HE_CONTIG1735|SPU_017329	48	6	0	0	8	0	75	35
HE_COMP237584_C4_SEQ1.140-605|SPU_019092	33	50	20	3	3	4	33	18
HE_COMP242907_C1_SEQ14.108-219|SPU_003753	12	0	2	0	0	0	0	3
HE_CONTIG842|UNKNOWN	0	0	25	0	1	0	3	0
HE_COMP230508_C3_SEQ4.0-209|SPU_021511	0	0	0	0	0	0	2	0
HE_CONTIG2112|SPU_006000	2	0	2	0	4	0	21	54
HE_CONTIG652|SPU_026970	147	19	84	6	17	1	9	1
HE_FRAG11793.156-989|SPU_012304	0	0	0	0	0	0	19	0
HE_CONTIG4448|UNKNOWN	0	0	0	0	0	0	5	0
HE_CONTIG2569|UNKNOWN	1	2	6	1	0	0	5	8
HE_FRAG4664.0-2904|SPU_007862	302	42	177	7	21	5	124	19
HE_COMP247031_C14_SEQ1.0-1293|SPU_025816	28	0	222	4	1	0	5	6
HE_CONTIG3906|SPU_005984	0	0	0	0	0	0	7	0
HE_COMP231595_C0_SEQ1.3-552|SPU_001825	80	13	163	10	38	0	13	1
HE_CONTIG1271|SPU_006246	0	0	0	0	0	0	1	0
HE_FRAG85.0-597|SPU_024110	0	0	0	0	0	0	13	0
HE_CONTIG4013|SPU_016331	231	59	469	139	26	7	204	124
HE_COMP231530_C0_SEQ1.146-200|UNKNOWN	15	0	1	0	0	0	6	8
HE_FRAG3293.0-1467|SPU_019333	452	118	52	4	26	0	20	2
HE_FRAG2753.246-1866|SPU_019289	147	52	169	7	4	0	23	6
HE_FRAG1310.0-3183|SPU_017326	184	1	125	0	22	0	25	0
HE_FRAG3276.0-1314|SPU_018530	1261	0	178	0	359	2	155	0
HE_COMP246182_C5_SEQ1.8-290|SPU_005239	0	0	0	0	0	0	2	0
HE_CONTIG141|UNKNOWN	67	27	34	4	5	3	0	0
HE_COMP246646_C0_SEQ1.2-368|SPU_004713	281	3	8	0	0	0	129	2
HE_FRAG18958.1137-1218|UNKNOWN	6	0	0	0	0	0	0	0
HE_COMP241601_C2_SEQ1.351-903|SPU_026807	38	10	21	7	0	0	3	13
HE_FRAG10632.0-1275|SPU_003066	392	102	656	52	33	0	226	24
HE_FRAG6416.12-1464|UNKNOWN	379	17	46	0	0	0	2	0
HE_COMP239702_C1_SEQ1.0-31|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG17309.0-651|SPU_003635	118	75	36	1	0	0	33	266
HE_COMP236912_C6_SEQ8.2-34|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5894.0-777|SPU_022326	6	8	1	0	10	3	38	6
HE_COMP246707_C6_SEQ1.111-153|UNKNOWN	6	50	7	0	39	17	1	2
HE_FRAG3745.57-414|SPU_018678	20	17	4	0	1	0	1	1
HE_COMP241685_C0_SEQ1.0-1271|UNKNOWN	274	5	130	49	8	0	33	55
HE_FRAG6806.0-666|SPU_024040	317	64	85	25	30	6	200	60
HE_FRAG14106.0-2090|SPU_022809	274	32	174	1	42	22	18	6
HE_FRAG12591.0-2013|SPU_010585	554	21	671	69	226	8	78	44
HE_COMP231605_C2_SEQ1.360-450|UNKNOWN	0	0	0	0	0	0	5	0
HE_FRAG942.0-747|SPU_013197	325	13	8	0	0	0	5	5
HE_CONTIG670|SPU_019187	0	0	0	0	0	0	5	0
HE_CONTIG3190|SPU_008160	13	0	11	0	2	0	221	0
HE_CONTIG3008|SPU_014492	0	0	0	0	0	0	35	0
HE_COMP236380_C6_SEQ1.22-54|UNKNOWN	1	0	0	0	10	0	16	4
HE_COMP242615_C2_SEQ2.230-263|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP225147_C0_SEQ1.0-285|SPU_000684	0	0	0	0	0	0	2	0
HE_FRAG1788.0-1500|SPU_012560	211	7	153	0	47	0	3	0
HE_COMP238551_C1_SEQ20.206-242|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP233392_C2_SEQ1.90-161|UNKNOWN	1	0	8	11	0	0	29	81
HE_COMP241956_C4_SEQ1.71-521|SPU_023941	146	0	151	0	0	0	2	0
HE_FRAG23184.1965-2285|SPU_027006	0	0	0	0	0	0	13	0
HE_COMP240897_C3_SEQ1.749-1010|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG6220.120-168|UNKNOWN	1	0	7	0	1	0	12	3
HE_COMP236773_C4_SEQ5.12-52|UNKNOWN	0	0	0	0	0	0	6	0
HE_COMP234537_C0_SEQ1.30-321|SPU_024592	0	0	0	0	0	0	18	0
HE_COMP245464_C0_SEQ1.465-4995|SPU_023044	1078	260	2173	183	48	0	245	89
HE_FRAG21698.1422-4683|SPU_018809	37	0	259	9	31	0	24	3
HE_COMP242449_C0_SEQ1.389-497|UNKNOWN	0	0	0	0	0	0	4	0
HE_FRAG7262.2-1728|SPU_019701	113	31	72	0	18	2	33	17
HE_COMP229236_C0_SEQ1.162-435|SPU_005055	0	0	0	0	0	0	0	0
HE_COMP246564_C1_SEQ3.0-1812|SPU_010488	142	7	140	15	5	0	16	2
HE_FRAG13924.160-2322|SPU_017583	343	30	352	9	28	8	81	11
HE_COMP232655_C8_SEQ7.42-87|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG4061|SPU_014140	2830	11	429	140	19	0	101	7
HE_COMP241780_C1_SEQ5.0-60|UNKNOWN	0	0	0	0	0	0	7	0
HE_FRAG16042.0-1950|SPU_019287	291	94	56	0	0	2	53	28
HE_CONTIG1907|SPU_004916	0	0	0	0	0	0	0	0
HE_COMP233789_C2_SEQ1.2-53|UNKNOWN	1	33	1	2	4	0	5	70
HE_FRAG574.1-1472|SPU_026418	332	8	256	9	26	0	54	3
