GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG5337.3-2373|SPU_007007	260	13	234	15	34	2	30	7
HE_FRAG13737.0-1110|SPU_004203	218	18	185	8	19	0	27	1
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	104	0	119	0	0	0	7	0
HE_CONTIG4779|SPU_018178	0	3	0	0	0	0	24	41
HE_FRAG13753.1659-2100|SPU_020214	66	9	90	0	7	0	26	0
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	90	3	56	0	4	0	23	0
HE_CONTIG2285|SPU_019377	72	15	33	1	2	0	18	10
HE_FRAG14895.3-5836|SPU_000212	347	18	221	5	0	0	49	7
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	90	2	79	0	62	4	1	0
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG13543.95-278|SPU_008833	0	0	1	0	0	0	2	7
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	220	26	164	26	10	4	70	24
HE_FRAG13578.33-1190|SPU_017470	201	25	238	16	16	0	50	13
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	1375	60	1662	0	0	0	194	0
HE_CONTIG157|SPU_014886	41	23	52	0	87	3	2	0
HE_CONTIG3659|SPU_014519	0	0	8	0	0	0	5	0
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	0	0	0	0	0	0	0	0
HE_FRAG22924.3-13107|SPU_017733	1752	215	1783	79	15	0	322	98
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	0	0	0	0	0	0	3	0
HE_CONTIG5111|SPU_015151	338	0	144	1	1	0	3	1
HE_CONTIG708|UNKNOWN	13	0	1	0	0	0	1	0
HE_CONTIG108|SPU_018962	250	5	95	0	13	0	26	0
HE_CONTIG2659|SPU_002174	358	58	64	2	0	0	48	3
HE_FRAG7415.1026-1242|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG1022.505-602|UNKNOWN	224	0	115	0	1	0	11	0
