GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG5337.3-2373|SPU_007007	156	8	102	14	9	3	14	16
HE_FRAG13737.0-1110|SPU_004203	223	0	210	28	13	0	21	1
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	77	0	117	1	2	0	7	0
HE_CONTIG4779|SPU_018178	0	0	0	0	0	0	7	20
HE_FRAG13753.1659-2100|SPU_020214	72	18	29	0	6	0	27	15
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	97	16	115	1	3	0	19	9
HE_CONTIG2285|SPU_019377	865	69	460	0	42	0	284	13
HE_FRAG14895.3-5836|SPU_000212	227	26	248	10	17	0	127	5
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	58	0	58	0	66	0	1	0
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG13543.95-278|SPU_008833	1	0	0	0	0	0	6	26
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	342	44	369	48	22	8	183	86
HE_FRAG13578.33-1190|SPU_017470	237	59	299	14	15	0	44	19
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	2113	0	1819	93	0	0	280	4
HE_CONTIG157|SPU_014886	74	0	62	0	83	0	19	0
HE_CONTIG3659|SPU_014519	10	0	98	0	4	0	52	3
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	41	0	14	0	5	0	23	0
HE_FRAG22924.3-13107|SPU_017733	2692	310	1479	107	27	0	292	192
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	0	0	0	0	0	0	2	0
HE_CONTIG5111|SPU_015151	21	0	16	0	1	0	89	0
HE_CONTIG708|UNKNOWN	12	0	7	0	0	0	8	0
HE_CONTIG108|SPU_018962	441	0	217	19	26	0	37	0
HE_CONTIG2659|SPU_002174	60	0	31	0	0	0	11	0
HE_FRAG7415.1026-1242|UNKNOWN	0	0	0	0	0	0	9	0
HE_FRAG1022.505-602|UNKNOWN	73	0	35	0	0	0	0	0
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	264	120	286	4	96	11	111	19
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	0	0	0	0	0	0	4	0
HE_CONTIG940|SPU_028807	17	2	70	5	7	0	66	0
HE_CONTIG1893|SPU_025927	178	10	234	0	0	0	9	7
HE_CONTIG2056|SPU_002018	102	13	32	0	3	0	8	0
HE_FRAG8342.2034-2124|UNKNOWN	10	0	10	0	0	0	12	0
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	9	2	10	0	0	0	55	1
HE_FRAG14087.2-824|UNKNOWN	42	0	22	3	0	0	16	3
HE_CONTIG3897|SPU_008199	540	54	258	0	101	7	43	2
HE_CONTIG4028|SPU_019712	195	53	142	0	8	8	77	63
HE_COMP230816_C5_SEQ1.117-174|UNKNOWN	0	0	0	0	0	0	4	0
HE_COMP236051_C4_SEQ1.0-3213|SPU_012202	261	7	168	0	78	5	28	3
HE_COMP241141_C1_SEQ3.785-1700|SPU_017307	745	27	565	0	3	0	39	0
