GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_FRAG5337.3-2373|SPU_007007	567	440	440	539	833	302	701	526	496
HE_FRAG13737.0-1110|SPU_004203	940	549	549	392	341	260	821	406	391
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	338	152	152	780	1073	477	497	390	486
HE_CONTIG4779|SPU_018178	0	139	139	33	69	5	20	110	3
HE_FRAG13753.1659-2100|SPU_020214	418	287	287	255	258	269	256	389	486
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	259	350	350	343	917	756	387	140	306
HE_CONTIG2285|SPU_019377	704	300	300	157	534	80	519	325	279
HE_FRAG14895.3-5836|SPU_000212	1184	1562	1562	594	2376	524	818	1142	799
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	228	194	194	116	347	69	139	74	118
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	3	0	0	3	3	1	2	4	3
HE_FRAG13543.95-278|SPU_008833	13	6	6	7	20	5	21	14	17
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	296	468	468	207	366	393	424	166	277
HE_FRAG13578.33-1190|SPU_017470	560	389	389	1557	699	673	354	521	344
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	1195	1461	1461	1746	2901	2466	1790	1266	2342
HE_CONTIG157|SPU_014886	587	861	861	676	808	697	1422	345	799
HE_CONTIG3659|SPU_014519	1	0	0	20	32	19	5	2	11
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	2	1	1	1	2	1	0	2	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	5	16	16	0	31	1	16	7	7
HE_FRAG22924.3-13107|SPU_017733	7999	7178	7178	4511	7268	3789	9907	8346	9956
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	1	0	0	0	0	0	0	0	1
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	0	0	0	0	0	0	2	0	2
HE_CONTIG5111|SPU_015151	550	530	530	272	530	243	856	618	825
HE_CONTIG708|UNKNOWN	96	6	6	0	2	0	14	30	4
HE_CONTIG108|SPU_018962	2268	3046	3046	2441	1477	1488	2544	1222	3269
HE_CONTIG2659|SPU_002174	403	883	883	244	426	431	619	342	764
HE_FRAG7415.1026-1242|UNKNOWN	132	46	46	0	1	2	17	11	10
HE_FRAG1022.505-602|UNKNOWN	1176	903	903	530	875	848	1096	782	828
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	1105	1355	1355	3266	5227	1947	2986	709	1151
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	0	0	0	0	0	1	0	1	5
HE_CONTIG940|SPU_028807	144	35	35	455	757	122	190	145	178
HE_CONTIG1893|SPU_025927	407	430	430	371	525	353	456	171	186
HE_CONTIG2056|SPU_002018	439	435	435	55	110	55	297	37	269
HE_FRAG8342.2034-2124|UNKNOWN	0	0	0	1	1	0	1	0	0
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	322	392	392	137	252	35	213	149	303
HE_FRAG14087.2-824|UNKNOWN	55	22	22	67	73	15	32	23	17
HE_CONTIG3897|SPU_008199	2495	1620	1620	840	2313	1259	1979	1980	2365
HE_CONTIG4028|SPU_019712	950	2187	2187	195	588	350	1182	805	1033
HE_COMP230816_C5_SEQ1.117-174|UNKNOWN	5	5	5	12	35	9	10	11	17
HE_COMP236051_C4_SEQ1.0-3213|SPU_012202	2755	4992	4992	7957	6241	1838	3202	1780	2138
HE_COMP241141_C1_SEQ3.785-1700|SPU_017307	3861	5496	5496	8836	5949	5583	5537	3902	6463
HE_COMP227882_C0_SEQ1.0-120|SPU_020423	0	0	0	0	1	5	1	0	3
HE_COMP234539_C8_SEQ1.41-80|UNKNOWN	1	6	6	0	3	7	4	4	1
HE_FRAG3151.0-1623|SPU_023091	383	215	215	497	596	115	202	346	190
HE_FRAG9113.0-1562|SPU_007283	714	547	547	615	1990	993	505	903	777
HE_COMP232501_C6_SEQ1.169-603|SPU_022056	7443	9592	9592	2818	3274	1788	6416	3912	4886
HE_COMP230809_C1_SEQ4.63-900|SPU_007801	189	136	136	61	92	89	206	112	218
HE_FRAG9209.282-2436|SPU_014406	21	22	22	23	81	49	26	21	24
HE_FRAG16808.0-3141|SPU_027144	3918	1007	1007	361	619	439	1342	1835	1190
HE_CONTIG1735|SPU_017329	104	137	137	56	78	19	103	216	172
HE_COMP237584_C4_SEQ1.140-605|SPU_019092	75	121	121	92	349	58	107	235	164
HE_COMP242907_C1_SEQ14.108-219|SPU_003753	3	11	11	12	17	3	12	8	17
HE_CONTIG842|UNKNOWN	6	5	5	50	35	26	29	12	28
HE_COMP230508_C3_SEQ4.0-209|SPU_021511	5	2	2	0	1	1	1	0	2
HE_CONTIG2112|SPU_006000	87	75	75	143	395	79	70	59	86
HE_CONTIG652|SPU_026970	201	542	542	516	1255	78	189	156	284
HE_FRAG11793.156-989|SPU_012304	136	41	41	19	53	38	45	59	19
HE_CONTIG4448|UNKNOWN	3	1	1	1	1	2	2	0	5
HE_CONTIG2569|UNKNOWN	14	29	29	12	19	12	36	15	19
HE_FRAG4664.0-2904|SPU_007862	975	526	526	482	582	346	746	733	697
HE_COMP247031_C14_SEQ1.0-1293|SPU_025816	158	86	86	568	936	167	603	238	266
HE_CONTIG3906|SPU_005984	9	14	14	18	4	3	6	20	7
HE_COMP231595_C0_SEQ1.3-552|SPU_001825	578	260	260	1596	1169	850	1546	510	318
HE_CONTIG1271|SPU_006246	41	3	3	1	0	5	8	48	1
HE_FRAG85.0-597|SPU_024110	2	1	1	53	75	32	21	5	13
HE_CONTIG4013|SPU_016331	1235	893	893	843	1287	645	1491	1198	1244
HE_COMP231530_C0_SEQ1.146-200|UNKNOWN	88	69	69	19	30	12	21	25	28
HE_FRAG3293.0-1467|SPU_019333	1241	951	951	472	900	635	1095	955	674
HE_FRAG2753.246-1866|SPU_019289	519	429	429	394	571	155	537	207	408
HE_FRAG1310.0-3183|SPU_017326	1563	697	697	188	149	143	510	458	357
HE_FRAG3276.0-1314|SPU_018530	2137	1598	1598	652	1332	1080	1983	2253	1955
HE_COMP246182_C5_SEQ1.8-290|SPU_005239	0	2	2	1	3	0	4	5	2
HE_CONTIG141|UNKNOWN	74	132	132	299	153	313	245	77	140
HE_COMP246646_C0_SEQ1.2-368|SPU_004713	493	284	284	706	1169	385	698	427	423
HE_FRAG18958.1137-1218|UNKNOWN	49	8	8	2	2	0	36	34	6
HE_COMP241601_C2_SEQ1.351-903|SPU_026807	50	84	84	43	67	51	74	156	92
HE_FRAG10632.0-1275|SPU_003066	961	580	580	831	1456	300	1198	621	1485
HE_FRAG6416.12-1464|UNKNOWN	107	375	375	77	374	92	298	58	444
HE_COMP239702_C1_SEQ1.0-31|UNKNOWN	4	2	2	1	1	0	2	0	2
HE_FRAG17309.0-651|SPU_003635	390	541	541	125	340	136	598	357	526
HE_COMP236912_C6_SEQ8.2-34|UNKNOWN	0	0	0	0	0	0	0	0	0
HE_FRAG5894.0-777|SPU_022326	46	29	29	7	28	37	55	21	72
HE_COMP246707_C6_SEQ1.111-153|UNKNOWN	170	227	227	88	82	64	160	61	92
HE_FRAG3745.57-414|SPU_018678	28	60	60	39	47	15	84	32	43
HE_COMP241685_C0_SEQ1.0-1271|UNKNOWN	533	279	279	455	739	351	559	492	554
HE_FRAG6806.0-666|SPU_024040	797	540	540	1230	2401	1037	1256	727	787
HE_FRAG14106.0-2090|SPU_022809	751	721	721	621	1325	241	1032	620	569
HE_FRAG12591.0-2013|SPU_010585	1190	1596	1596	1350	1997	1027	1580	577	1671
HE_COMP231605_C2_SEQ1.360-450|UNKNOWN	4	2	2	12	12	5	1	3	5
HE_FRAG942.0-747|SPU_013197	288	352	352	379	188	72	389	371	356
HE_CONTIG670|SPU_019187	4	1	1	3	1	0	2	2	5
HE_CONTIG3190|SPU_008160	63	52	52	796	1298	323	145	70	247
HE_CONTIG3008|SPU_014492	18	24	24	49	73	54	31	41	34
HE_COMP236380_C6_SEQ1.22-54|UNKNOWN	11	19	19	54	54	33	34	17	29
HE_COMP242615_C2_SEQ2.230-263|UNKNOWN	1	2	2	2	2	0	1	0	0
HE_COMP225147_C0_SEQ1.0-285|SPU_000684	1	0	0	7	0	3	1	5	2
HE_FRAG1788.0-1500|SPU_012560	319	424	424	897	970	667	607	272	421
HE_COMP238551_C1_SEQ20.206-242|UNKNOWN	0	0	0	0	0	0	1	0	1
HE_COMP233392_C2_SEQ1.90-161|UNKNOWN	40	14	14	170	162	166	84	73	126
HE_COMP241956_C4_SEQ1.71-521|SPU_023941	215	246	246	67	153	122	227	144	299
