GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_FRAG5337.3-2373|SPU_007007	398	335	416	1182	914	913	1571	361	595
HE_FRAG13737.0-1110|SPU_004203	998	265	900	925	501	1058	1120	823	476
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	164	53	203	1112	395	727	553	305	230
HE_CONTIG4779|SPU_018178	23	10	20	243	30	3	104	56	68
HE_FRAG13753.1659-2100|SPU_020214	197	54	249	364	283	331	424	304	198
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	198	149	170	636	453	675	267	116	176
HE_CONTIG2285|SPU_019377	169	67	88	189	43	112	705	735	151
HE_FRAG14895.3-5836|SPU_000212	430	84	755	1513	1133	1158	1856	783	647
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	88	22	256	527	359	426	514	312	238
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	0	2	1	14	2	2	2	0	0
HE_FRAG13543.95-278|SPU_008833	20	2	27	35	13	44	35	18	9
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	305	4	207	621	285	601	469	319	544
HE_FRAG13578.33-1190|SPU_017470	573	225	653	2353	1250	2130	1452	585	559
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	1344	552	1556	7849	4533	7976	3543	3249	3292
HE_CONTIG157|SPU_014886	816	103	313	528	379	495	663	184	208
HE_CONTIG3659|SPU_014519	2	0	4	238	129	401	64	142	13
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	2	2	0	2	0	2	1	1	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	0	5	0	4	0	12	15	2	0
HE_FRAG22924.3-13107|SPU_017733	3177	516	2777	6105	3575	5417	4417	3483	4264
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	0	0	0	0	0	0	1	0	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	2	2	1	0	1	0	0	0	3
HE_CONTIG5111|SPU_015151	254	217	522	741	422	712	936	480	488
HE_CONTIG708|UNKNOWN	23	7	28	3	0	3	23	25	15
HE_CONTIG108|SPU_018962	607	116	767	1030	520	641	1739	717	389
HE_CONTIG2659|SPU_002174	350	205	505	455	373	534	1119	428	532
HE_FRAG7415.1026-1242|UNKNOWN	5	0	3	5	3	6	5	6	1
HE_FRAG1022.505-602|UNKNOWN	246	195	566	487	220	444	513	725	350
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	2699	930	2290	2856	2101	1544	3985	1350	899
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	2	0	0	5	8	7	0	1	0
HE_CONTIG940|SPU_028807	31	5	48	647	332	392	266	123	58
HE_CONTIG1893|SPU_025927	772	73	310	1013	750	476	1317	320	214
HE_CONTIG2056|SPU_002018	584	215	297	149	101	111	301	187	122
HE_FRAG8342.2034-2124|UNKNOWN	11	3	20	19	4	16	16	13	5
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	140	15	78	415	197	220	225	86	40
