GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_FRAG5337.3-2373|SPU_007007	312	540	427	255	932	437	119	554	322
HE_FRAG13737.0-1110|SPU_004203	189	414	498	161	734	321	265	377	496
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	144	216	316	85	717	486	76	177	204
HE_CONTIG4779|SPU_018178	4	67	31	3	269	83	18	12	28
HE_FRAG13753.1659-2100|SPU_020214	106	156	144	31	255	34	36	147	167
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	179	394	381	208	834	471	389	285	260
HE_CONTIG2285|SPU_019377	321	1996	2151	42	555	855	305	536	1734
HE_FRAG14895.3-5836|SPU_000212	334	965	1244	132	1859	591	80	564	660
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	94	251	195	50	277	148	45	192	183
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	1	3	2	0	0	0	0	1	1
HE_FRAG13543.95-278|SPU_008833	9	61	134	6	60	60	9	18	33
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	596	950	939	581	2364	1735	539	663	1102
HE_FRAG13578.33-1190|SPU_017470	643	1559	1695	417	1500	784	349	793	687
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	3219	6705	6502	5059	6235	5705	1577	4063	4309
HE_CONTIG157|SPU_014886	306	878	1441	142	925	565	318	341	238
HE_CONTIG3659|SPU_014519	10	27	65	4459	4030	3418	352	412	167
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	0	0	1	0	0	1	1	0	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	14	6	7	4	5	19	62	32	83
HE_FRAG22924.3-13107|SPU_017733	2950	4082	4581	3734	10801	8393	4369	4256	5099
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	1	0	2	0	0	2	0	1	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	2	6	4	0	8	1	0	1	1
HE_CONTIG5111|SPU_015151	49	232	361	75	554	339	59	142	127
HE_CONTIG708|UNKNOWN	103	127	139	8	33	27	19	16	27
HE_CONTIG108|SPU_018962	109	650	708	70	674	477	105	314	740
HE_CONTIG2659|SPU_002174	59	241	273	67	356	112	24	207	103
HE_FRAG7415.1026-1242|UNKNOWN	49	93	58	8	9	4	2	7	9
HE_FRAG1022.505-602|UNKNOWN	63	143	180	74	103	103	86	95	108
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	343	1547	2195	106	1851	631	414	810	911
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	4	1	3	11	18	22	1	1	4
HE_CONTIG940|SPU_028807	75	359	832	130	844	596	49	195	167
HE_CONTIG1893|SPU_025927	158	1272	1941	197	1147	388	181	320	438
HE_CONTIG2056|SPU_002018	183	270	492	72	329	171	208	110	158
HE_FRAG8342.2034-2124|UNKNOWN	20	41	26	0	12	11	9	16	32
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	20	135	201	50	264	121	17	68	77
HE_FRAG14087.2-824|UNKNOWN	21	202	306	60	308	75	20	88	85
HE_CONTIG3897|SPU_008199	867	2180	2077	294	3335	1934	294	913	1005
HE_CONTIG4028|SPU_019712	400	911	962	372	2061	813	169	479	546
HE_COMP230816_C5_SEQ1.117-174|UNKNOWN	2	12	10	4	33	18	4	5	5
HE_COMP236051_C4_SEQ1.0-3213|SPU_012202	173	1667	2094	292	2879	447	62	734	550
HE_COMP241141_C1_SEQ3.785-1700|SPU_017307	474	1646	1764	588	2111	1040	458	1063	1379
HE_COMP227882_C0_SEQ1.0-120|SPU_020423	20	0	8	1	0	3	2	4	4
HE_COMP234539_C8_SEQ1.41-80|UNKNOWN	1	4	6	1	1	2	1	1	3
HE_FRAG3151.0-1623|SPU_023091	503	954	1667	63	819	468	78	355	390
HE_FRAG9113.0-1562|SPU_007283	18585	26181	21904	4265	22546	8062	4856	15625	8401
HE_COMP232501_C6_SEQ1.169-603|SPU_022056	1272	1366	1328	337	932	488	887	1361	1073
HE_COMP230809_C1_SEQ4.63-900|SPU_007801	1414	1038	1798	2545	2471	1187	2196	2336	2149
HE_FRAG9209.282-2436|SPU_014406	110	783	1063	24	199	114	44	146	146
HE_FRAG16808.0-3141|SPU_027144	947	1024	1179	255	953	813	576	789	739
HE_CONTIG1735|SPU_017329	1	8	6	0	0	1	0	1	2
HE_COMP237584_C4_SEQ1.140-605|SPU_019092	40	118	123	108	78	105	63	137	53
HE_COMP242907_C1_SEQ14.108-219|SPU_003753	38	83	20	3	9	10	7	37	6
HE_CONTIG842|UNKNOWN	1	6	3	4	19	13	4	10	3
HE_COMP230508_C3_SEQ4.0-209|SPU_021511	64	121	170	7	50	10	28	33	40
HE_CONTIG2112|SPU_006000	344	239	193	54	673	140	76	79	90
HE_CONTIG652|SPU_026970	83	269	272	94	811	157	32	253	178
HE_FRAG11793.156-989|SPU_012304	254	106	156	38	177	103	167	92	87
HE_CONTIG4448|UNKNOWN	1	2	2	0	0	1	0	2	6
HE_CONTIG2569|UNKNOWN	35	39	24	13	14	10	37	20	21
HE_FRAG4664.0-2904|SPU_007862	482	1751	2059	140	1064	579	337	1055	1111
HE_COMP247031_C14_SEQ1.0-1293|SPU_025816	94	504	509	264	1742	1239	187	417	568
