GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG5337.3-2373|SPU_007007	762	80	546	35	58	35	28	28
HE_FRAG13737.0-1110|SPU_004203	467	46	532	0	18	0	56	1
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	183	0	313	36	0	0	21	0
HE_CONTIG4779|SPU_018178	0	0	0	0	0	0	0	104
HE_FRAG13753.1659-2100|SPU_020214	95	91	187	0	16	15	19	1
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	154	0	91	0	3	0	9	9
HE_CONTIG2285|SPU_019377	343	54	206	14	23	1	40	24
HE_FRAG14895.3-5836|SPU_000212	918	75	583	31	5	0	194	50
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	90	31	212	0	79	64	38	0
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG13543.95-278|SPU_008833	0	0	3	0	0	0	6	23
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	190	9	135	2	14	2	82	35
HE_FRAG13578.33-1190|SPU_017470	661	33	571	24	49	0	92	22
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	1672	0	1613	0	0	0	258	0
HE_CONTIG157|SPU_014886	170	48	131	9	281	23	1	0
HE_CONTIG3659|SPU_014519	5	0	32	0	0	0	27	0
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	0	0	0	0	0	0	2	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	0	0	0	0	0	0	15	0
HE_FRAG22924.3-13107|SPU_017733	1831	198	1927	34	20	0	323	84
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	0	0	0	0	0	0	0	0
HE_CONTIG5111|SPU_015151	442	71	379	6	1	0	15	22
HE_CONTIG708|UNKNOWN	15	0	0	0	0	0	8	0
HE_CONTIG108|SPU_018962	1060	156	426	0	87	0	10	0
HE_CONTIG2659|SPU_002174	568	15	251	7	0	0	163	115
HE_FRAG7415.1026-1242|UNKNOWN	0	0	0	0	0	0	4	0
HE_FRAG1022.505-602|UNKNOWN	338	0	105	0	0	0	70	0
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	1205	198	1544	3	620	0	412	3
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	0	0	0	0	0	0	1	0
HE_CONTIG940|SPU_028807	21	4	127	0	3	0	111	0
HE_CONTIG1893|SPU_025927	846	0	449	0	0	0	22	0
HE_CONTIG2056|SPU_002018	179	31	67	0	1	0	12	11
HE_FRAG8342.2034-2124|UNKNOWN	5	0	11	0	0	0	0	0
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	71	20	97	10	11	1	15	0
HE_FRAG14087.2-824|UNKNOWN	80	0	106	1	1	0	1	20
HE_CONTIG3897|SPU_008199	1015	95	1157	21	227	23	213	40
HE_CONTIG4028|SPU_019712	195	138	358	0	25	12	159	61
HE_COMP230816_C5_SEQ1.117-174|UNKNOWN	1	1	4	0	2	0	12	5
HE_COMP236051_C4_SEQ1.0-3213|SPU_012202	1372	49	1145	0	507	0	193	0
HE_COMP241141_C1_SEQ3.785-1700|SPU_017307	1844	347	1607	0	5	0	97	1
HE_COMP227882_C0_SEQ1.0-120|SPU_020423	0	0	0	0	0	0	0	0
HE_COMP234539_C8_SEQ1.41-80|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG3151.0-1623|SPU_023091	399	35	176	11	0	0	85	21
HE_FRAG9113.0-1562|SPU_007283	6449	321	6134	192	1137	115	808	11
HE_COMP232501_C6_SEQ1.169-603|SPU_022056	1170	43	458	102	12	0	93	608
HE_COMP230809_C1_SEQ4.63-900|SPU_007801	110	13	1137	13	13	1	63	84
HE_FRAG9209.282-2436|SPU_014406	166	3	101	0	56	0	47	0
HE_FRAG16808.0-3141|SPU_027144	650	187	405	30	5	3	58	37
HE_CONTIG1735|SPU_017329	12	0	0	0	1	0	15	4
HE_COMP237584_C4_SEQ1.140-605|SPU_019092	127	16	87	3	16	0	64	16
HE_COMP242907_C1_SEQ14.108-219|SPU_003753	2	0	1	0	0	0	3	0
HE_CONTIG842|UNKNOWN	0	0	6	0	0	0	2	0
HE_COMP230508_C3_SEQ4.0-209|SPU_021511	0	0	0	0	0	0	3	0
HE_CONTIG2112|SPU_006000	10	0	7	2	0	0	37	56
HE_CONTIG652|SPU_026970	477	45	591	14	100	0	128	108
HE_FRAG11793.156-989|SPU_012304	55	7	26	3	0	1	9	2
HE_CONTIG4448|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG2569|UNKNOWN	3	0	4	0	0	1	2	14
HE_FRAG4664.0-2904|SPU_007862	682	148	725	27	74	0	293	35
HE_COMP247031_C14_SEQ1.0-1293|SPU_025816	136	2	485	7	3	0	55	6
HE_CONTIG3906|SPU_005984	0	0	0	0	0	0	1	0
HE_COMP231595_C0_SEQ1.3-552|SPU_001825	195	51	316	2	67	0	13	15
HE_CONTIG1271|SPU_006246	0	0	0	0	0	0	2	0
HE_FRAG85.0-597|SPU_024110	0	0	0	0	0	0	90	0
HE_CONTIG4013|SPU_016331	610	209	374	35	40	12	169	85
HE_COMP231530_C0_SEQ1.146-200|UNKNOWN	10	0	4	0	0	0	13	8
HE_FRAG3293.0-1467|SPU_019333	496	84	258	38	29	5	130	14
HE_FRAG2753.246-1866|SPU_019289	253	54	242	7	4	5	60	23
HE_FRAG1310.0-3183|SPU_017326	310	6	691	13	45	0	70	2
HE_FRAG3276.0-1314|SPU_018530	1045	51	498	2	474	0	141	15
HE_COMP246182_C5_SEQ1.8-290|SPU_005239	0	0	0	0	0	0	7	0
HE_CONTIG141|UNKNOWN	170	1	155	0	11	0	13	0
HE_COMP246646_C0_SEQ1.2-368|SPU_004713	109	50	10	0	0	0	56	3
HE_FRAG18958.1137-1218|UNKNOWN	9	0	0	0	0	0	1	0
HE_COMP241601_C2_SEQ1.351-903|SPU_026807	25	8	99	15	0	0	7	9
HE_FRAG10632.0-1275|SPU_003066	174	30	257	8	13	0	62	3
HE_FRAG6416.12-1464|UNKNOWN	247	105	310	4	1	0	38	51
HE_COMP239702_C1_SEQ1.0-31|UNKNOWN	0	0	0	0	0	0	3	0
HE_FRAG17309.0-651|SPU_003635	75	52	32	6	0	0	57	97
HE_COMP236912_C6_SEQ8.2-34|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5894.0-777|SPU_022326	61	22	87	0	7	1	23	34
HE_COMP246707_C6_SEQ1.111-153|UNKNOWN	0	41	2	0	22	26	3	2
HE_FRAG3745.57-414|SPU_018678	49	13	30	0	0	0	5	0
HE_COMP241685_C0_SEQ1.0-1271|UNKNOWN	243	19	142	53	13	0	54	76
HE_FRAG6806.0-666|SPU_024040	143	71	425	2	64	7	119	28
HE_FRAG14106.0-2090|SPU_022809	621	113	508	4	120	27	74	11
