GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_FRAG5337.3-2373|SPU_007007	1277	1315	1283	1976	2679	1652	119	554	322
HE_FRAG13737.0-1110|SPU_004203	2127	1228	1947	1478	1575	1639	265	377	496
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	646	421	671	1977	2184	1690	76	178	204
HE_CONTIG4779|SPU_018178	26	217	191	279	364	90	18	12	27
HE_FRAG13753.1659-2100|SPU_020214	721	497	681	649	796	635	36	146	167
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	636	893	901	1186	2203	1902	388	284	260
HE_CONTIG2285|SPU_019377	1194	2364	2540	388	1132	1047	304	536	1733
HE_FRAG14895.3-5836|SPU_000212	1948	2610	3561	2239	5367	2272	80	564	660
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	410	467	645	692	984	643	45	192	183
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	4	6	4	19	6	4	0	2	1
HE_FRAG13543.95-278|SPU_008833	39	73	170	50	92	113	10	18	33
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	1197	1422	1614	1409	3015	2729	539	663	1102
HE_FRAG13578.33-1190|SPU_017470	1776	2173	2737	4327	3450	3587	349	793	687
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	5758	8718	9519	14654	13669	16146	1577	4063	4309
HE_CONTIG157|SPU_014886	1709	1842	2616	1346	2112	1757	318	341	238
HE_CONTIG3659|SPU_014519	13	27	69	4717	4191	3838	352	412	167
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	4	4	2	6	8	4	1	0	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	19	28	23	8	36	32	62	32	83
HE_FRAG22924.3-13107|SPU_017733	14126	11776	14536	14349	21644	17599	4369	4256	5099
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	2	0	2	0	0	3	0	1	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	4	8	5	0	9	1	0	2	2
HE_CONTIG5111|SPU_015151	853	979	1413	1087	1506	1294	59	142	127
HE_CONTIG708|UNKNOWN	222	140	173	11	35	30	19	16	27
HE_CONTIG108|SPU_018962	2984	3812	4521	3541	2671	2606	105	314	740
HE_CONTIG2659|SPU_002174	812	1328	1659	765	1152	1080	24	207	102
HE_FRAG7415.1026-1242|UNKNOWN	186	140	107	13	13	12	2	7	9
HE_FRAG1022.505-602|UNKNOWN	1486	1241	1658	1091	1199	1397	86	95	108
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	4147	3832	5840	6228	9179	4122	414	810	911
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	6	1	3	16	26	30	1	1	4
HE_CONTIG940|SPU_028807	250	399	915	1232	1933	1110	49	195	167
HE_CONTIG1893|SPU_025927	1337	1775	2681	1581	2423	1217	181	320	438
HE_CONTIG2056|SPU_002018	1206	920	1223	276	540	337	208	110	158
HE_FRAG8342.2034-2124|UNKNOWN	31	44	46	20	17	26	9	15	32
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	482	542	671	602	713	376	17	68	77
HE_FRAG14087.2-824|UNKNOWN	115	236	389	451	661	229	20	87	86
HE_CONTIG3897|SPU_008199	4095	3934	5136	3790	7274	5263	294	914	1005
HE_CONTIG4028|SPU_019712	1963	3307	3800	1430	3485	1864	169	480	546
HE_COMP230816_C5_SEQ1.117-174|UNKNOWN	10	18	18	39	96	40	3	5	4
HE_COMP236051_C4_SEQ1.0-3213|SPU_012202	3980	6731	8204	10305	10273	2912	62	734	550
HE_COMP241141_C1_SEQ3.785-1700|SPU_017307	6233	7806	9916	12393	9469	10714	458	1062	1379
HE_COMP227882_C0_SEQ1.0-120|SPU_020423	21	0	9	2	0	9	2	4	4
HE_COMP234539_C8_SEQ1.41-80|UNKNOWN	6	10	15	4	9	12	1	2	3
HE_FRAG3151.0-1623|SPU_023091	1210	1248	2373	1500	2180	1399	78	355	390
HE_FRAG9113.0-1562|SPU_007283	24691	32232	35555	19436	39546	22893	4856	15625	8401
HE_COMP232501_C6_SEQ1.169-603|SPU_022056	10226	12400	15790	6538	5711	4069	887	1361	1073
HE_COMP230809_C1_SEQ4.63-900|SPU_007801	1901	1317	2395	3553	3093	2377	2195	2336	2149
HE_FRAG9209.282-2436|SPU_014406	253	841	1314	446	523	446	45	147	147
HE_FRAG16808.0-3141|SPU_027144	5792	2237	3140	1728	2026	2099	576	789	739
HE_CONTIG1735|SPU_017329	124	166	157	69	82	62	0	1	1
HE_COMP237584_C4_SEQ1.140-605|SPU_019092	215	475	428	615	702	566	63	137	54
HE_COMP242907_C1_SEQ14.108-219|SPU_003753	89	99	50	23	29	20	6	37	7
HE_CONTIG842|UNKNOWN	9	12	11	80	75	66	4	10	3
HE_COMP230508_C3_SEQ4.0-209|SPU_021511	86	123	173	7	59	17	28	33	40
HE_CONTIG2112|SPU_006000	490	327	321	340	1196	305	70	79	93
HE_CONTIG652|SPU_026970	1107	890	1368	2064	3316	1160	32	253	178
HE_FRAG11793.156-989|SPU_012304	647	149	316	156	286	260	167	92	87
HE_CONTIG4448|UNKNOWN	7	3	3	5	8	4	0	2	6
HE_CONTIG2569|UNKNOWN	83	81	62	48	43	39	34	20	20
HE_FRAG4664.0-2904|SPU_007862	1812	2486	3554	2418	2363	2485	337	1055	1111
HE_COMP247031_C14_SEQ1.0-1293|SPU_025816	441	626	720	3053	3655	3416	187	417	568
