GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG5337.3-2373|SPU_007007	50	2	46	5	7	2	5	2
HE_FRAG13737.0-1110|SPU_004203	119	0	100	1	7	0	38	0
HE_COMP231761_C9_SEQ1.23-1529|SPU_017842	59	0	12	0	4	0	1	0
HE_CONTIG4779|SPU_018178	0	0	1	0	1	0	7	9
HE_FRAG13753.1659-2100|SPU_020214	17	2	10	0	2	0	5	0
HE_COMP230434_C1_SEQ1.0-872|SPU_002184	139	5	210	5	2	0	25	2
HE_CONTIG2285|SPU_019377	175	35	52	0	6	0	27	9
HE_FRAG14895.3-5836|SPU_000212	31	0	31	1	2	0	15	0
HE_COMP234152_C1_SEQ3.255-407|SPU_024859	17	3	5	0	4	11	3	2
HE_COMP227635_C0_SEQ1.100-248|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG13543.95-278|SPU_008833	0	0	0	0	0	0	2	8
HE_COMP241500_C1_SEQ1.0-1941|SPU_030224	164	18	246	11	18	4	60	18
HE_FRAG13578.33-1190|SPU_017470	106	26	163	17	3	0	19	15
HE_COMP247261_C2_SEQ11.0-708|SPU_022355	890	0	510	0	0	0	177	0
HE_CONTIG157|SPU_014886	67	26	57	0	93	27	48	0
HE_CONTIG3659|SPU_014519	25	0	222	0	17	0	81	7
HE_COMP231570_C8_SEQ2.3-39|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP228741_C2_SEQ2.0-210|SPU_017960	33	0	9	0	2	0	18	0
HE_FRAG22924.3-13107|SPU_017733	2211	165	1588	51	21	0	263	70
HE_COMP237265_C2_SEQ1.119-155|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP237710_C7_SEQ1.2472-2739|SPU_005844	0	0	0	0	0	0	0	0
HE_CONTIG5111|SPU_015151	7	0	14	0	0	0	38	0
HE_CONTIG708|UNKNOWN	15	0	0	0	0	0	4	0
HE_CONTIG108|SPU_018962	54	1	47	0	1	0	2	0
HE_CONTIG2659|SPU_002174	8	0	10	0	0	0	6	0
HE_FRAG7415.1026-1242|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG1022.505-602|UNKNOWN	47	10	26	0	1	0	2	0
HE_COMP238616_C0_SEQ1.0-442|SPU_014751	150	152	28	1	46	23	12	2
HE_COMP223776_C1_SEQ1.845-1097|SPU_014487	0	0	0	0	0	0	1	0
HE_CONTIG940|SPU_028807	3	0	22	0	1	0	23	0
HE_CONTIG1893|SPU_025927	99	3	73	0	0	0	5	1
HE_CONTIG2056|SPU_002018	132	31	38	0	1	0	6	0
HE_FRAG8342.2034-2124|UNKNOWN	2	0	4	0	0	0	2	1
HE_COMP231098_C0_SEQ1.0-1059|SPU_006060	2	0	1	0	0	0	14	0
HE_FRAG14087.2-824|UNKNOWN	5	0	7	0	0	0	5	3
HE_CONTIG3897|SPU_008199	156	12	61	1	29	5	28	2
HE_CONTIG4028|SPU_019712	54	16	45	0	9	0	28	17
HE_COMP230816_C5_SEQ1.117-174|UNKNOWN	0	0	0	0	0	0	3	0
HE_COMP236051_C4_SEQ1.0-3213|SPU_012202	25	10	15	0	7	0	4	1
HE_COMP241141_C1_SEQ3.785-1700|SPU_017307	210	11	209	21	1	0	4	2
HE_COMP227882_C0_SEQ1.0-120|SPU_020423	0	0	0	0	0	0	2	0
HE_COMP234539_C8_SEQ1.41-80|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG3151.0-1623|SPU_023091	47	9	11	0	0	0	10	1
HE_FRAG9113.0-1562|SPU_007283	2519	499	1242	30	334	56	169	7
HE_COMP232501_C6_SEQ1.169-603|SPU_022056	381	1	248	45	5	0	31	176
HE_COMP230809_C1_SEQ4.63-900|SPU_007801	722	142	1083	5	82	1	89	71
HE_FRAG9209.282-2436|SPU_014406	4	0	0	0	5	0	36	0
HE_FRAG16808.0-3141|SPU_027144	290	39	172	8	5	0	44	18
HE_CONTIG1735|SPU_017329	0	0	0	0	0	0	0	0
HE_COMP237584_C4_SEQ1.140-605|SPU_019092	8	0	33	5	1	0	10	6
HE_COMP242907_C1_SEQ14.108-219|SPU_003753	5	0	0	0	0	0	1	0
HE_CONTIG842|UNKNOWN	0	0	0	0	0	0	4	0
HE_COMP230508_C3_SEQ4.0-209|SPU_021511	13	0	13	0	0	0	2	0
HE_CONTIG2112|SPU_006000	16	12	1	0	0	0	5	36
HE_CONTIG652|SPU_026970	16	0	14	0	1	0	1	0
HE_FRAG11793.156-989|SPU_012304	117	5	40	0	1	0	4	0
HE_CONTIG4448|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG2569|UNKNOWN	3	19	1	3	0	0	2	6
HE_FRAG4664.0-2904|SPU_007862	161	14	97	2	15	0	41	7
HE_COMP247031_C14_SEQ1.0-1293|SPU_025816	46	0	136	0	0	0	3	2
HE_CONTIG3906|SPU_005984	0	0	0	0	0	0	15	0
HE_COMP231595_C0_SEQ1.3-552|SPU_001825	34	10	127	0	20	0	7	0
HE_CONTIG1271|SPU_006246	0	0	0	0	0	0	4	0
HE_FRAG85.0-597|SPU_024110	0	0	0	0	0	0	62	0
HE_CONTIG4013|SPU_016331	65	8	67	14	4	1	31	9
HE_COMP231530_C0_SEQ1.146-200|UNKNOWN	2	0	0	0	0	0	1	8
HE_FRAG3293.0-1467|SPU_019333	548	68	268	47	25	2	64	24
HE_FRAG2753.246-1866|SPU_019289	30	2	29	0	2	0	6	0
HE_FRAG1310.0-3183|SPU_017326	65	1	164	0	13	0	45	0
HE_FRAG3276.0-1314|SPU_018530	345	10	97	0	104	0	43	2
HE_COMP246182_C5_SEQ1.8-290|SPU_005239	0	0	0	0	0	0	1	0
HE_CONTIG141|UNKNOWN	175	58	135	0	22	14	5	1
HE_COMP246646_C0_SEQ1.2-368|SPU_004713	15	0	14	0	0	0	3	0
HE_FRAG18958.1137-1218|UNKNOWN	5	0	35	0	0	0	0	0
HE_COMP241601_C2_SEQ1.351-903|SPU_026807	26	8	75	20	1	0	19	9
HE_FRAG10632.0-1275|SPU_003066	39	0	24	0	0	0	20	0
HE_FRAG6416.12-1464|UNKNOWN	174	23	72	1	0	0	7	14
HE_COMP239702_C1_SEQ1.0-31|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG17309.0-651|SPU_003635	13	17	5	4	0	0	7	58
HE_COMP236912_C6_SEQ8.2-34|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5894.0-777|SPU_022326	47	0	7	0	17	0	8	0
HE_COMP246707_C6_SEQ1.111-153|UNKNOWN	8	20	1	0	36	30	3	2
HE_FRAG3745.57-414|SPU_018678	11	5	3	0	7	0	1	0
HE_COMP241685_C0_SEQ1.0-1271|UNKNOWN	17	0	15	3	3	0	9	0
HE_FRAG6806.0-666|SPU_024040	26	2	21	2	7	0	11	5
HE_FRAG14106.0-2090|SPU_022809	1	0	12	0	2	0	5	0
HE_FRAG12591.0-2013|SPU_010585	59	0	25	10	9	0	6	21
HE_COMP231605_C2_SEQ1.360-450|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG942.0-747|SPU_013197	98	16	31	0	0	0	2	0
HE_CONTIG670|SPU_019187	0	0	0	0	0	0	5	0
HE_CONTIG3190|SPU_008160	119	4	36	0	2	0	34	0
HE_CONTIG3008|SPU_014492	299	0	937	88	94	17	82	25
HE_COMP236380_C6_SEQ1.22-54|UNKNOWN	1	1	0	1	4	0	5	5
HE_COMP242615_C2_SEQ2.230-263|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP225147_C0_SEQ1.0-285|SPU_000684	0	0	0	0	0	0	1	0
HE_FRAG1788.0-1500|SPU_012560	87	3	92	0	22	0	5	0
HE_COMP238551_C1_SEQ20.206-242|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP233392_C2_SEQ1.90-161|UNKNOWN	2	8	3	1	0	0	6	38
HE_COMP241956_C4_SEQ1.71-521|SPU_023941	15	1	12	0	0	0	9	0
HE_FRAG23184.1965-2285|SPU_027006	0	0	0	0	0	0	0	0
HE_COMP240897_C3_SEQ1.749-1010|UNKNOWN	0	0	0	0	0	0	7	0
HE_FRAG6220.120-168|UNKNOWN	4	2	1	1	1	0	3	4
HE_COMP236773_C4_SEQ5.12-52|UNKNOWN	0	0	0	0	0	0	2	0
HE_COMP234537_C0_SEQ1.30-321|SPU_024592	0	0	0	0	0	0	18	0
HE_COMP245464_C0_SEQ1.465-4995|SPU_023044	273	26	518	45	15	0	55	12
HE_FRAG21698.1422-4683|SPU_018809	19	1	22	0	5	1	3	1
HE_COMP242449_C0_SEQ1.389-497|UNKNOWN	2	0	0	0	0	1	3	0
HE_FRAG7262.2-1728|SPU_019701	18	2	11	0	5	0	12	0
HE_COMP229236_C0_SEQ1.162-435|SPU_005055	0	0	0	0	0	0	6	0
HE_COMP246564_C1_SEQ3.0-1812|SPU_010488	106	14	114	9	9	0	19	15
HE_FRAG13924.160-2322|SPU_017583	74	15	44	10	17	2	9	2
HE_COMP232655_C8_SEQ7.42-87|UNKNOWN	0	0	0	0	0	0	2	0
HE_CONTIG4061|SPU_014140	295	7	324	39	8	0	193	95
HE_COMP241780_C1_SEQ5.0-60|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG16042.0-1950|SPU_019287	88	33	39	0	0	0	26	4
HE_CONTIG1907|SPU_004916	0	0	0	0	0	0	3	0
HE_COMP233789_C2_SEQ1.2-53|UNKNOWN	226	66	0	3	3	0	9	80
HE_FRAG574.1-1472|SPU_026418	1819	175	2782	104	228	29	368	11
HE_COMP246691_C1_SEQ1.138-972|SPU_020797	43	8	9	0	2	0	3	4
HE_COMP243385_C1_SEQ2.1410-1724|SPU_004423	0	0	0	0	0	0	1	0
HE_COMP237064_C10_SEQ3.72-114|UNKNOWN	0	0	0	0	0	0	3	0
HE_COMP240397_C4_SEQ3.0-531|SPU_028130	53	0	128	27	5	3	14	1
HE_COMP239343_C0_SEQ1.5-44|UNKNOWN	1	5	11	0	1	1	3	0
HE_CONTIG5253|SPU_009990	0	0	0	0	0	0	16	0
HE_CONTIG3081|SPU_018320	0	0	0	0	0	0	2	0
HE_CONTIG1891|SPU_007127	98	10	167	0	33	0	36	12
HE_CONTIG2000|SPU_012262	1330	15	3473	110	76	0	220	222
HE_FRAG5896.1137-1374|SPU_014287	0	0	0	0	0	0	19	0
HE_FRAG5473.24-837|SPU_014260	848	137	157	12	0	0	477	47
HE_COMP244785_C1_SEQ4.0-993|SPU_027174	7	0	41	0	4	0	9	0
HE_CONTIG4207|SPU_026708	11	3	113	0	0	0	1	1
HE_FRAG316.178-226|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5793.72-1272|SPU_014460	92	32	318	16	0	0	64	30
HE_FRAG6624.2-1680|SPU_023952	48	0	54	0	0	0	10	0
HE_CONTIG1866|SPU_009879	179	0	144	0	0	0	17	0
HE_FRAG14673.62-599|SPU_006174	60	2	21	6	1	0	8	1
HE_CONTIG1118|SPU_023355	64	7	90	4	3	0	25	9
HE_COMP242580_C3_SEQ1.0-288|SPU_026362	16	0	12	0	0	0	4	0
HE_COMP239160_C4_SEQ1.0-1776|SPU_009647	110	4	173	5	7	3	35	2
HE_CONTIG5012|SPU_012342	56	0	15	0	0	0	15	0
HE_COMP239002_C2_SEQ1.0-2823|SPU_008966	68	3	102	1	2	0	21	3
HE_CONTIG2358|SPU_021991	84	0	166	47	4	4	38	16
HE_COMP240801_C1_SEQ1.60-1803|SPU_015902	576	156	1264	137	0	0	377	64
HE_COMP236522_C3_SEQ10.118-160|UNKNOWN	3	0	0	1	5	1	2	4
HE_COMP231113_C0_SEQ1.39-1539|SPU_020012	116	37	75	12	2	0	27	10
HE_FRAG7276.240-3306|SPU_001785	2832	137	397	9	3	1	88	53
HE_CONTIG2105|SPU_017120	0	0	0	0	0	0	26	0
HE_FRAG1204.10-58|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG2705|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP232533_C0_SEQ1.309-780|SPU_028302	2	0	2	0	0	0	15	0
HE_CONTIG3100|SPU_017709	1	4	26	9	0	1	34	31
HE_CONTIG2670|SPU_007267	7	0	39	0	0	0	0	0
HE_CONTIG4248|SPU_015084	17	0	0	0	0	0	7	0
HE_FRAG16037.2094-3536|SPU_019287	44	14	40	0	1	0	16	23
HE_FRAG13798.0-984|SPU_011658	137	0	4	0	14	4	11	0
HE_FRAG1868.78-2525|SPU_007386	366	248	299	3	24	7	151	29
HE_FRAG7023.19-1233|SPU_018702	267	39	569	74	1	0	63	55
HE_FRAG21999.0-7617|SPU_028833	24	10	31	0	5	0	53	3
HE_CONTIG2680|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG23230.0-1472|SPU_014424	0	0	0	0	0	0	13	0
HE_CONTIG1781|SPU_017029	57	7	63	2	3	0	30	2
HE_COMP232859_C6_SEQ1.0-1329|SPU_008239	12	0	44	0	0	0	2	0
HE_FRAG16370.3-711|SPU_018090	11	17	42	6	0	0	9	18
HE_COMP233676_C3_SEQ2.98-1568|SPU_018372	112	0	615	118	5	1	114	62
HE_FRAG259.1415-1700|UNKNOWN	8	0	7	0	1	0	0	0
HE_FRAG4895.216-1263|SPU_024723	23	0	10	0	0	0	3	0
HE_COMP229741_C0_SEQ2.0-2211|SPU_022450	82	0	49	0	1	2	16	0
HE_FRAG9574.261-2436|SPU_016327	38	0	49	0	1	0	7	1
HE_FRAG10995.1818-1941|SPU_017911	0	0	0	0	0	0	0	0
HE_COMP230358_C1_SEQ3.63-249|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG17700.2-4004|SPU_018720	13	0	36	2	5	0	6	0
HE_COMP243031_C6_SEQ3.44-107|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG3045|UNKNOWN	1	0	3	2	0	0	3	12
HE_CONTIG4514|SPU_016903	14	0	2	0	0	0	7	32
HE_FRAG11691.0-1227|UNKNOWN	3	0	3	0	6	0	16	0
HE_CONTIG2050|SPU_015574	3	0	3	0	0	0	6	0
HE_COMP237738_C0_SEQ1.0-1146|SPU_006308	81	11	125	0	3	0	20	0
HE_CONTIG4433|SPU_016842	5	0	2	0	0	0	1	0
HE_FRAG5580.0-5574|SPU_028726	107	1	98	0	5	0	10	5
HE_CONTIG605|SPU_026766	19	1	64	0	0	0	4	0
HE_CONTIG3145|SPU_024592	6	12	2	0	0	0	25	53
HE_COMP237427_C7_SEQ1.198-429|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG8110.159-339|SPU_012492	0	0	0	0	0	0	3	0
HE_CONTIG407|UNKNOWN	0	0	0	0	0	0	0	150
HE_COMP241849_C0_SEQ2.74-116|UNKNOWN	0	0	0	0	0	0	0	0
HE_COMP197588_C0_SEQ1.3-162|SPU_011645	0	0	0	0	0	0	38	0
HE_FRAG22354.708-972|SPU_025759	3	0	0	0	0	0	0	0
HE_FRAG21789.450-2646|SPU_025763	0	0	0	0	0	0	3	0
HE_COMP241292_C1_SEQ1.0-298|SPU_015804	12	0	15	0	0	0	5	0
HE_FRAG18075.0-1791|SPU_020578	6	0	20	0	2	0	1	0
HE_FRAG820.117-255|SPU_019284	5	0	4	0	0	0	10	0
HE_CONTIG4434|SPU_024918	16	0	4	0	0	0	6	0
HE_CONTIG3669|SPU_015376	48	7	58	0	0	0	11	4
HE_COMP228979_C1_SEQ6.81-237|SPU_020272	0	0	0	0	0	0	0	0
HE_COMP234891_C5_SEQ1.200-342|SPU_017723	23	0	16	0	2	0	1	0
HE_FRAG6539.0-3570|SPU_021559	26	0	27	0	3	0	6	0
HE_COMP215986_C0_SEQ1.0-168|SPU_013237	0	0	0	0	0	0	1	0
HE_CONTIG1319|SPU_026337	201	19	195	11	14	1	12	0
HE_COMP228506_C0_SEQ1.76-119|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP209988_C0_SEQ1.78-540|SPU_025331	8	0	5	0	0	0	0	0
HE_CONTIG2941|SPU_023386	608	74	614	0	150	0	123	6
HE_FRAG9423.50-314|SPU_002802	0	0	0	0	1	0	0	0
HE_FRAG13811.659-2738|SPU_000324	0	0	0	0	0	0	10	0
HE_FRAG4783.0-2367|SPU_011065	56	5	31	0	0	0	4	1
HE_CONTIG3783|SPU_000635	0	0	0	0	0	0	18	0
HE_FRAG15198.0-2124|SPU_005988	68	1	97	0	8	0	10	2
HE_COMP245612_C2_SEQ1.1-719|SPU_001690	178	2	20	0	52	1	13	0
HE_CONTIG5209|SPU_017029	29	18	33	6	9	2	9	6
HE_COMP239356_C1_SEQ2.0-1154|SPU_009455	76	4	38	1	56	8	18	7
HE_FRAG5175.621-879|SPU_008355	0	0	0	0	0	0	1	0
HE_FRAG18746.0-834|SPU_003139	27	2	5	0	0	2	4	3
HE_CONTIG4393|SPU_024463	4	1	3	1	0	0	12	33
HE_FRAG5653.89-1571|SPU_007945	254	17	309	3	17	0	39	0
HE_CONTIG5007|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG4008|SPU_009335	81	8	26	1	8	0	9	1
HE_CONTIG1626|SPU_013326	719	254	1135	0	1	0	144	1
HE_FRAG623.0-1536|SPU_009771	296	19	271	6	8	0	26	4
HE_CONTIG1650|UNKNOWN	174	206	14	37	0	0	185	668
HE_FRAG22208.23-2066|SPU_007265	7	0	39	0	3	0	13	0
HE_FRAG10171.19-1608|SPU_014529	36	0	17	0	4	0	8	10
HE_FRAG14502.0-3903|SPU_026013	2	6	7	0	0	0	20	1
HE_CONTIG2437|SPU_014728	45	2	51	4	3	0	11	0
HE_COMP232671_C5_SEQ1.14-290|SPU_025983	6	2	11	0	0	0	49	35
HE_CONTIG905|UNKNOWN	0	0	0	0	0	0	7	0
HE_FRAG3861.0-2127|SPU_004819	328	102	387	6	29	1	147	45
HE_FRAG22214.1245-2550|SPU_027122	15	1	15	0	3	0	1	0
HE_COMP239451_C8_SEQ1.0-446|SPU_012345	2766	0	1455	0	1	0	240	0
HE_COMP236681_C4_SEQ1.41-1511|SPU_025243	27	2	9	0	1	0	6	3
HE_CONTIG878|SPU_012099	0	0	0	0	0	0	4	0
HE_FRAG1417.0-1503|SPU_003632	39	0	263	4	0	0	9	0
HE_FRAG14480.0-3774|SPU_007008	423	44	781	37	51	0	70	27
HE_FRAG9362.0-441|SPU_001402	23	0	13	0	1	0	3	0
HE_COMP247611_C2_SEQ1.0-3152|SPU_018068	4	1	24	0	3	0	15	0
HE_FRAG7601.83-800|SPU_023388	36	2	91	0	11	0	24	2
HE_COMP236703_C0_SEQ1.0-1662|SPU_003114	1519	0	1316	17	516	0	335	0
HE_FRAG5362.26-1298|SPU_001599	50	9	49	5	1	0	11	4
HE_FRAG7433.129-560|SPU_006043	134	12	22	0	3	0	5	2
HE_FRAG23288.0-6546|SPU_015529	0	0	0	0	2	0	43	0
HE_COMP242716_C0_SEQ1.75-225|UNKNOWN	0	0	0	0	0	0	5	0
HE_CONTIG4868|UNKNOWN	46	7	1	0	0	0	1	0
HE_CONTIG3381|SPU_007198	12	0	29	0	0	0	0	0
HE_FRAG20381.8-1233|SPU_019283	78	10	35	2	3	2	8	2
HE_FRAG17929.110-924|SPU_017355	135	10	172	0	5	0	2	0
HE_COMP233580_C8_SEQ2.0-1128|SPU_009726	43	0	53	0	0	0	0	0
HE_FRAG1305.642-1413|SPU_014985	6	0	2	0	1	0	12	2
HE_COMP243549_C0_SEQ1.36-660|SPU_012304	83	10	13	0	6	0	6	0
HE_FRAG5707.6-2820|SPU_010379	1478	101	1665	114	103	2	355	5
HE_CONTIG4015|SPU_023240	0	0	0	0	0	0	6	0
HE_FRAG8076.981-1587|SPU_009961	63	10	66	0	0	0	13	0
HE_CONTIG1654|SPU_024684	499	93	412	0	24	0	7	0
HE_CONTIG3961|SPU_020348	0	0	0	0	0	0	5	0
HE_FRAG2339.2-1127|SPU_010756	76	2	23	0	9	0	13	0
HE_CONTIG2602|SPU_015869	43	0	233	10	12	0	22	24
HE_FRAG20681.23-2120|SPU_016467	22	18	9	6	1	1	10	21
HE_FRAG9957.147-525|SPU_000222	112	0	45	0	0	0	24	0
HE_FRAG2585.0-1314|SPU_020440	187	26	46	8	30	0	32	13
HE_FRAG8935.10-785|SPU_001778	3085	362	3764	81	988	190	1336	208
HE_COMP238684_C4_SEQ1.9-942|SPU_023215	77	11	175	15	3	0	27	0
HE_COMP208451_C1_SEQ1.156-219|UNKNOWN	0	0	0	0	0	0	5	0
HE_CONTIG3894|SPU_009739	279	8	118	3	51	0	44	5
HE_CONTIG437|SPU_000941	0	0	0	0	0	0	221	0
HE_COMP235329_C0_SEQ1.99-1020|SPU_022363	179	4	1092	1	0	0	35	3
HE_COMP240229_C6_SEQ1.53-90|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG16757.411-1167|UNKNOWN	4	0	0	0	0	0	18	2
HE_COMP227746_C2_SEQ1.11-602|SPU_013485	4	0	0	0	0	0	12	0
HE_COMP239701_C2_SEQ5.0-432|SPU_017533	6	0	0	0	0	0	3	0
HE_CONTIG890|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG24|UNKNOWN	0	0	0	0	0	0	0	10
HE_COMP228557_C0_SEQ1.522-630|SPU_008956	0	0	0	0	0	0	0	0
HE_CONTIG1307|SPU_025385	0	0	0	0	0	0	0	0
HE_CONTIG4449|SPU_016473	0	0	0	0	0	0	1	0
